userId,similarUsers
1,4645;5498;10299;310;10463;4180;10273;3016;12753;5571
2,10035;11238;8085;3319;386;11149;9022;6548;6902;9212
3,8370;2660;5276;3809;11145;9904;3274;9873;9912;9116
4,7101;4780;11110;6879;2257;5941;9562;5911;10712;1010
5,5671;9277;2459;1999;6558;12344;749;1311;5443;11413
6,5339;12359;2924;8454;9149;7062;3333;4699;2834;8132
7,7474;6560;6060;6470;8758;7331;9306;8677;7452;1003
8,3988;1429;8564;9126;8940;4683;3542;7448;3851;11110
9,6727;8225;8399;10261;5089;2339;7156;10973;3609;9070
10,10782;12300;4492;6586;11010;10981;2639;10896;4727;2726
11,8538;1503;737;9223;9383;8697;7997;247;6813;3422
12,8751;12337;1434;6667;4051;2224;7944;5942;7325;1608
13,3646;3523;403;5787;4270;2784;4790;12105;11010;6270
14,8570;9570;5970;12237;9816;1301;6399;3016;7864;3093
15,2797;7337;10951;10298;9757;5420;1303;11003;321;12343
16,8168;10900;10606;1075;9041;6969;488;7090;6680;12001
17,176;11103;4900;10080;3146;6335;12654;11906;5674;7873
18,2596;7370;1219;4006;151;1356;9391;10512;49;12623
19,2223;3851;11774;6556;10850;8086;8326;6185;10239;7758
20,5655;4178;5852;9873;10464;8545;11659;10411;2323;5691
21,7191;10191;11986;11006;6892;1473;10205;10980;6374;9639
22,285;10591;5008;2292;4029;7405;5652;1363;6328;1685
23,10173;238;5049;8814;7667;11056;12335;6475;8535;9083
24,8010;5146;609;976;3790;3771;9635;2486;5523;7829
25,1118;6181;7653;1314;1539;11031;11953;11666;885;2289
26,8054;1656;8562;2011;9613;11426;2698;374;4433;4677
27,11986;11852;851;222;11988;10258;232;9190;4734;5042
28,96;11790;493;1071;1921;12835;10530;4783;10401;5120
29,4548;8390;12148;8303;8048;4897;4391;861;7318;5904
30,10460;12619;7161;12543;1138;1391;6861;10389;3126;12701
31,10720;12143;5525;4814;1435;2375;9201;111;246;9588
32,957;3031;6287;2912;5354;10485;11966;3832;1327;7116
33,1461;10739;8835;8862;3369;5816;7752;9465;9959;4909
34,10821;9149;3201;8504;3333;2734;5566;6174;1893;5782
35,7095;10428;9828;6634;12789;4084;9853;11642;5730;3843
36,2725;7351;5958;9421;10961;7954;8809;10333;8370;3140
37,9697;3750;11574;6152;10913;11706;951;6341;3973;9470
38,920;4260;618;7295;12250;6839;73;1437;6673;4852
