userId,itemId
1,85875; 4962; 9805; 31093; 10390; 26358; 21374; 84533; 97840; 59699
2,86821; 60035; 81644; 74994; 9504; 68187; 18481; 20093; 83293; 86161
3,88162; 77822; 84348; 2712; 92165; 31696; 90263; 61948; 42832; 9660
4,78387; 20243; 1136; 3601; 84207; 48966; 63326; 35653; 84323; 43050
5,19839; 92407; 93356; 90841; 33393; 2789; 76317; 58264; 93153; 38595
6,95968; 10486; 94462; 83920; 14174; 5129; 58002; 3134; 39523; 57917
7,80462; 57842; 60713; 38769; 12294; 25752; 33568; 24805; 16312; 97492
8,15224; 61451; 75538; 86543; 94; 67158; 31171; 20035; 22341; 33009
9,72834; 95959; 59072; 95548; 64836; 26997; 45551; 43978; 30008; 8554
10,3601; 10685; 69619; 6001; 83804; 99191; 58326; 56699; 39137; 14014
11,77387; 30625; 4673; 58801; 76009; 31891; 99362; 22582; 70722; 73221
12,2696; 1936; 66834; 38067; 82957; 34487; 80341; 29719; 5616; 85684
13,71638; 82441; 79307; 26962; 99139; 97259; 16330; 67803; 33023; 76552
14,57450; 82131; 74928; 9013; 48585; 20809; 94641; 75193; 22655; 79292
15,4751; 19770; 5254; 46844; 11516; 20665; 49751; 59650; 68310; 1905
16,79858; 47176; 65730; 85319; 44083; 35795; 86329; 88276; 90456; 17201
17,42994; 84803; 40733; 56965; 16559; 20243; 92913; 61138; 49602; 60263
18,73419; 10834; 85536; 98653; 8668; 15691; 33676; 7151; 24082; 69915
19,65604; 1851; 81885; 9302; 60137; 73255; 8434; 34440; 65551; 54462
20,2405; 70943; 2696; 60941; 80862; 14109; 49309; 41323; 30445; 16933
21,15774; 32698; 3854; 26479; 9452; 93985; 38961; 74256; 25252; 41532
22,22166; 38290; 72044; 58380; 57228; 43025; 40792; 14705; 33241; 48405
23,37974; 50684; 89740; 12547; 86313; 62999; 35874; 73033; 39168; 87186
24,79880; 30628; 77307; 87699; 2060; 27851; 54190; 2676; 51899; 83384
25,77445; 66471; 4327; 76199; 43533; 80867; 4391; 69599; 87337; 79932
